DATE,T10Y3M
2000-01-01,0.76380952380952380952
2000-04-01,0.28888888888888888889
2000-07-01,-0.31222222222222222222
2000-10-01,-0.62951612903225806452
2001-01-01,0.11080645161290322581
2001-04-01,1.5355555555555556
2001-07-01,1.7121311475409836
2001-10-01,2.8124193548387097
2002-01-01,3.3248333333333333
2002-04-01,3.3598437500000000
2002-07-01,2.5985937500000000
2002-10-01,2.6388709677419355
2003-01-01,2.7452459016393443
2003-04-01,2.5617460317460317
2003-07-01,3.2798437500000000
2003-10-01,3.3500000000000000
2004-01-01,3.0762903225806452
2004-04-01,3.5009677419354839
2004-07-01,2.7875000000000000
2004-10-01,2.1283870967741935
2005-01-01,1.7144262295081967
2005-04-01,1.2318750000000000
2005-07-01,0.77687500000000000000
2005-10-01,0.57459016393442622951
2006-01-01,0.07048387096774193548
2006-04-01,0.24253968253968253968
2006-07-01,-0.14158730158730158730
2006-10-01,-0.40112903225806451613
2007-01-01,-0.43500000000000000000
2007-04-01,-0.02593750000000000000
2007-07-01,0.30412698412698412698
2007-10-01,0.77500000000000000000
2008-01-01,1.5608196721311475
2008-04-01,2.2314062500000000
2008-07-01,2.3418750000000000
2008-10-01,2.9229032258064516
2009-01-01,2.5239344262295082
2009-04-01,3.1495238095238095
2009-07-01,3.3578125000000000
2009-10-01,3.4035483870967742
2010-01-01,3.6080327868852459
2010-04-01,3.3442187500000000
2010-07-01,2.6296875000000000
2010-10-01,2.7388709677419355
2011-01-01,3.3306451612903226
2011-04-01,3.1561904761904762
2011-07-01,2.3892187500000000
2011-10-01,2.0319672131147541
2012-01-01,1.9693548387096774
2012-04-01,1.7375000000000000
2012-07-01,1.5396825396825397
2012-10-01,1.6173770491803279
2013-01-01,1.8646666666666667
2013-04-01,1.9346875000000000
2013-07-01,2.6743750000000000
2013-10-01,2.6840322580645161
2014-01-01,2.7160655737704918
2014-04-01,2.5879365079365079
2014-07-01,2.4731250000000000
2014-10-01,2.2533870967741935
2015-01-01,1.9442622950819672
2015-04-01,2.1460937500000000
2015-07-01,2.1804687500000000
2015-10-01,2.0650000000000000
2016-01-01,1.6237704918032787
2016-04-01,1.4907812500000000
2016-07-01,1.2660937500000000
2016-10-01,1.7054098360655738
2017-01-01,1.8404838709677419
2017-04-01,1.3528571428571429
2017-07-01,1.1874603174603175
2017-10-01,1.1448387096774194
2018-01-01,1.1763934426229508
2018-04-01,1.0459375000000000
2018-07-01,0.84920634920634920635
2018-10-01,0.68442622950819672131
2019-01-01,0.21442622950819672131
2019-04-01,-0.01587301587301587302
2019-07-01,-0.22812500000000000000
2019-10-01,0.18435483870967741935
2020-01-01,0.26096774193548387097
2020-04-01,0.54539682539682539683
2020-07-01,0.53718750000000000000
2020-10-01,0.77161290322580645161
2021-01-01,1.2847540983606557
2021-04-01,1.5656250000000000
2021-07-01,1.2751562500000000
2021-10-01,1.4791935483870968
